cer_id,cloud_provider,focus_category,service,title,summary,severity,status
CER-001883,aws,focus_other,aws-marketplace,Double Counting on EDP Commitments,"Many organizations mistakenly believe that all AWS Marketplace spend automatically contributes to their EDP commitment. In reality, only certain Marketplace transactions, those involving EDP-eligible vendors and transactable SKUs, will count towards a portion of their EDP commitment. This misunderstanding can lead to double counting: forecasting based on the assumption that both native AWS usage a",medium,published
CER-009482,gcp,focus_other,gcp-cloud-logging,Duplicate Storage of Logs in Cloud Logging,"Duplicate log storage occurs when multiple sinks capture the same log data — for example, organization-wide sinks exporting all logs to Cloud Storage and project-level sinks doing the same. This redundancy results in paying twice (or more) for identical data. It often arises from decentralized logging configurations, inherited policies, or unclear ownership between teams. The problem is compounded",medium,published
CER-008369,aws,focus_other,aws-cloudtrail,Duplicate or Overlapping AWS CloudTrail Trails,"AWS CloudTrail enables event logging across AWS services, but when multiple trails are configured to log overlapping events — especially data events — it can result in redundant charges and unnecessary storage or ingestion costs. This commonly occurs in decentralized environments where teams create trails independently, unaware of existing coverage or shared logging destinations.Each trail that re",medium,published
CER-009602,aws,focus_network,aws-elb,Elastic Load Balancer with Only One EC2 Instance,"An ELB with only one registered EC2 instance does not achieve its core purpose—distributing traffic across multiple backends. In this configuration, the ELB adds complexity and cost without improving availability, scalability, or fault tolerance. This setup is often the result of premature scaling design or misunderstood architecture patterns. If there's no plan to horizontally scale the applicati",medium,published
CER-003662,aws,focus_other,aws-config,Excessive AWS Config Costs from Spot Instances,"Spot Instances are designed to be short-lived, with frequent interruptions and replacements. When AWS Config continuously records every lifecycle change for these instances, it produces a large number of CIRs. This drives costs significantly higher without delivering meaningful compliance insight, since Spot Instances are typically stateless and non-critical. In environments with heavy Spot usage,",medium,published
CER-009045,snowflake,focus_other,snowflake-automatic-clustering-service,Excessive Auto-Clustering Costs from High-Churn Tables,"Excessive Auto-Clustering costs occur when tables experience frequent and large-scale modifications (""high churn""), causing Snowflake to constantly recluster data. This leads to significant and often hidden compute consumption for maintenance tasks, especially when table structures or loading patterns are not optimized. Poor clustering key choices, unordered data loads, or frequent full-table repl",medium,published
CER-003023,aws,focus_storage,aws-s3,Excessive CloudTrail Charges from Bulk S3 Deletes,"When large numbers of objects are deleted from S3—such as during cleanup or lifecycle transitions—CloudTrail can log every individual delete operation if data event logging is enabled. This is especially costly when deleting millions of objects from buckets configured with CloudTrail data event logging at the object level. The resulting volume of logs can cause a significant, unexpected spike in C",medium,published
CER-007159,aws,focus_other,aws-cloudwatch,Excessive CloudWatch Log Volume from Persistently Enabled Debugging,"Engineers often enable verbose logging (e.g., debug or trace-level) during development or troubleshooting, then forget to disable it after deployment. This results in elevated log ingestion rates — and therefore costs — even when the detailed logs are no longer needed. Because CloudWatch Logs charges per GB ingested, persistent debug logging in production environments can create silent but materia",medium,published
CER-007557,gcp,focus_compute,gcp-cloud-functions,Excessive Cold Starts in GCP Cloud Functions,"Cloud Functions scale to zero when idle. When invoked after inactivity, they undergo a ""cold start,"" initializing runtime, loading dependencies, and establishing any required network connections (e.g., VPC connectors). These cold starts can dramatically increase execution time, especially for functions with: * High memory allocations * Heavy initialization logic * VPC connector requirements If col",medium,published
CER-002141,gcp,focus_database,gcp-bigquery,Excessive Data Scanned Due to Unpartitioned Tables in BigQuery,"If a table is not partitioned by a relevant column (typically a timestamp), every query scans the entire dataset, even if filtering by date. This leads to: * High costs per query * Long execution times * Inefficient use of resources when querying recent or small subsets of data This inefficiency is especially common in: * Event or log data stored in raw, unpartitioned form Historical data migratio",medium,published
CER-007226,aws,focus_storage,aws-s3,Excessive KMS Charges from Missing S3 Bucket Key Configuration,"S3 buckets configured with SSE-KMS but without Bucket Keys generate a separate KMS request for each object operation. This behavior results in disproportionately high KMS request costs for data-intensive workloads such as analytics, backups, or frequently accessed objects. Bucket Keys allow S3 to cache KMS data keys at the bucket level, reducing the volume of KMS calls and cutting encryption costs",medium,published
CER-002980,aws,focus_compute,aws-lambda,Excessive Lambda Duration from Synchronous Waiting,"Some Lambda functions perform synchronous calls to other services, APIs, or internal microservices and wait for the response before proceeding. During this time, the Lambda is idle from a compute perspective but still fully billed. This anti-pattern can lead to unnecessarily long durations and elevated costs, especially when repeated across high-volume workflows or under memory-intensive configura",medium,published
CER-005270,aws,focus_compute,aws-lambda,Excessive Lambda Retries (Retry Storms),"Retry storms occur when a function fails and is automatically retried repeatedly due to default retry behavior for asynchronous events (e.g., SQS, EventBridge). If the error is persistent and unhandled, retries can accumulate rapidly — often invisibly — creating a large volume of billable executions with no successful outcome. This is especially costly when functions run for extended durations or ",medium,published
CER-001658,aws,focus_storage,aws-s3,Excessive ListBucket API Calls to an S3 Bucket,"ListBucket requests are commonly used to enumerate objects in a bucket, such as by backup systems, scheduled sync jobs, data catalogs, or monitoring tools. When these operations are frequent or target buckets with large object counts, they can generate disproportionately high request charges. In many cases, real-time enumeration is not necessary and can be replaced with more efficient alternatives",medium,published
CER-002074,gcp,focus_ai,gcp-vertex-ai,Excessive Model Logging Enabled in Production Environments,"Verbose logging is useful during development, but many teams forget to disable it before deploying to production. Generative AI workloads often include long prompts, large multi-paragraph outputs, embedding vectors, and structured metadata. When these full payloads are logged on high-throughput production endpoints, Cloud Logging costs can quickly exceed the cost of the model inference itself. Thi",medium,published
CER-004643,azure,focus_storage,azure-blob-storage,Excessive Retention of Audit Logs,"Audit logs are often retained longer than necessary, especially in environments where the logging destination is not carefully selected. Projects that initially route SQL Audit Logs or other high-volume sources to LAW or Azure Storage may forget to revisit their retention strategy. Without policies in place, logs can accumulate unchecked—particularly problematic with SQL logs, which can generate s",medium,published
CER-007976,aws,focus_storage,aws-rds,Excessive Retention of Automated RDS Backups,"If backup retention settings are too high or old automated backups are unnecessarily retained, costs can accumulate rapidly. RDS backup storage is significantly more expensive than equivalent storage in S3. For long-term retention or compliance use cases, exporting backups to S3 (e.g., via snapshot export to Amazon S3 in Parquet) is often more cost-effective than retaining them in RDS-native forma",medium,published
CER-002316,gcp,focus_other,gcp-cloud-logging,Excessive Retention of Logs in Cloud Logging,"By default, Cloud Logging retains logs for 30 days. However, many organizations increase retention to 90 days, 365 days, or longer — even for non-critical logs such as debug-level messages, transient system logs, or audit logs in dev environments. This extended retention can lead to unnecessary costs, especially when: * Logs are never queried after the first few days * Observability tooling duplic",medium,published
CER-009101,gcp,focus_ai,gcp-vertex-ai,Excessive Retries for Large Inference Outputs,"Generative workloads that produce long outputs—such as detailed summaries, document rewrites, or multi-paragraph chat completions—require extended model runtime.",medium,published
CER-002135,gcp,focus_database,gcp-bigtable,Excessive Shard Count in GCP Bigtable,"Bigtable automatically splits data into tablets (shards), which are distributed across provisioned nodes. However, poorly designed row key schemas or excessive shard counts (caused by high cardinality, hash-based keys, or timestamp-first designs) can result in performance bottlenecks or hot spotting. To compensate, users often scale up node counts — increasing costs — when the real issue lies in s",medium,published
CER-004350,snowflake,focus_storage,snowflake-snapshots,Excessive Snapshot Storage from High-Churn Snowflake Tables,"Snowflake automatically maintains previous versions of data when tables are modified or deleted. For tables with high churn—meaning frequent INSERT, UPDATE, DELETE, or MERGE operations—this can cause a significant buildup of historical snapshot data, even if the active data size remains small.This hidden accumulation leads to elevated storage costs, particularly when Time Travel retention periods ",medium,published
CER-009040,aws,focus_other,aws-marketplace,Hidden Marketplace Spend Preventing Commitment Optimization,"In many organizations, AWS Marketplace purchases are lumped into a single consolidated billing line without visibility into individual vendors. This lack of transparency makes it difficult to identify which Marketplace spend is eligible to count toward the EDP cap. As a result, teams may either overspend on direct AWS services to fulfill their commitment unnecessarily or miss the opportunity to ri",medium,published
CER-008411,azure,focus_storage,azure-blob-storage,High Transaction Cost Due to Misaligned Tier in Azure Blob Storage,"Azure Blob Storage tiers are designed to optimize cost based on access frequency. However, when frequently accessed data is stored in the Cool or Archive tiers—either due to misconfiguration, default settings, or cost-only optimization—transaction costs can spike. These tiers impose significantly higher charges for read/write operations and metadata access compared to the Hot tier.This misalignmen",medium,published
CER-003782,azure,focus_storage,azure-files,High Transaction Cost Due to Misaligned Tier in Azure Files,"Azure Files Standard tier is cost-effective for low-traffic scenarios but imposes per-operation charges that grow rapidly with frequent access. In contrast, Premium tier provides consistent IOPS and throughput without additional transaction charges. When high-throughput or performance-sensitive workloads (e.g., real-time application data, logs, user file interactions) are placed in the Standard ti",medium,published
CER-001438,azure,focus_compute,azure-app-service,Idle Azure App Service Plan Without Deployed Applications,"App Service Plans continue to incur charges even when no applications are deployed. This can occur when applications are deleted, migrated, or retired, but the associated App Service Plan remains active. Without ongoing workloads, these idle plans become silent cost contributors — especially in higher-cost SKUs like Premium v3 or Isolated v2.In large or decentralized environments, unused plans can",medium,published
CER-007459,azure,focus_database,azure-sql,Idle Azure SQL Elastic Pool Without Databases,"An Azure SQL Elastic Pool continues to incur costs even if it contains no databases. This can occur when databases are deleted, migrated to single-instance configurations, or consolidated elsewhere — but the pool itself remains provisioned. In such cases, the pool becomes an idle resource consuming budget without delivering value.This inefficiency often goes undetected in large or decentralized en",medium,published
CER-008659,gcp,focus_database,gcp-cloud-memorystore,Idle Cloud Memorystore Redis Instance,"Cloud Memorystore instances that remain idle—i.e., not receiving read or write requests—continue to incur full costs based on provisioned size. In test environments, migration scenarios, or deprecated application components, Redis instances are often left running unintentionally. Since Redis does not autoscale or suspend, unused capacity results in 100% waste until explicitly deleted.",medium,published
CER-001319,gcp,focus_network,gcp-cloud-nat,Idle Cloud NAT Gateway Without Active Traffic,"Each Cloud NAT gateway provisioned in GCP incurs hourly charges for each external IP address attached, regardless of whether traffic is flowing through the gateway. In many environments, NAT configurations are created for temporary access (e.g., one-off updates, patching windows, or ephemeral resources) and are never cleaned up. If no traffic is flowing, these NAT gateways remain idle yet continue",medium,published
CER-002163,gcp,focus_compute,gcp-dataflow,Idle Dataflow Workers Running After Pipeline Failure,"When a Dataflow pipeline fails—often due to dependency issues, misconfigurations, or data format mismatches—its worker instances may remain active temporarily until the service terminates them. In some cases, misconfigured jobs, stuck retries, or delayed monitoring can cause workers to continue running for extended periods. These idle workers consume vCPU, memory, and storage resources without per",medium,published
CER-007739,aws,focus_compute,aws-ecs,Idle ECS Container Instances Due to ASG Minimum Capacity,"When ECS clusters are configured with an Auto Scaling Group that maintains a minimum number of EC2 instances (e.g., min = 1 or higher), the instances remain active even when there are no tasks scheduled. This leads to idle compute capacity and unnecessary EC2 charges.Instead, ECS Capacity Providers support target tracking scaling policies that can scale the ASG to zero when idle and automatically ",medium,published
CER-001832,aws,focus_compute,aws-emr,Idle EMR Cluster Without Auto-Termination Policy,"Amazon EMR clusters often run on large, multi-node EC2 fleets, making them costly to leave running unnecessarily. If a cluster becomes idle—no longer processing jobs—but is not terminated, it continues accruing EC2 and EMR service charges. Many teams forget to shut down clusters manually or leave them running for debugging, staging, or future job use. Without an auto-termination policy, this overs",medium,published
CER-002813,gcp,focus_compute,gcp-gke,Idle GKE Autopilot Clusters with Always-On System Overhead,"Even when no user workloads are active, GKE Autopilot clusters continue running system-managed pods that accrue compute and storage charges. These include control plane components and built-in agents for observability and networking. If Autopilot clusters are deployed in non-production or experimental environments and left idle, they may silently accrue ongoing charges unrelated to application act",medium,published
CER-005478,gcp,focus_network,gcp-load-balancers,Idle Load Balancer,"Provisioned load balancers continue to generate costs even when they are no longer serving meaningful traffic. This often occurs when applications are decommissioned, testing infrastructure is left behind, or backend services are removed without deleting the associated frontend configurations. Without ingress or egress traffic, these load balancers offer no functional value but still consume billa",medium,published
CER-004131,aws,focus_network,aws-data-transfer,Imbalanced Data Transfer Between Availability Zones,"Some architectures unintentionally route large volumes of traffic between resources that reside in different Availability Zones—such as database queries, service calls, replication, or logging. While these patterns may be functionally correct, they can lead to unnecessary data transfer charges when the traffic could be contained within a single AZ. Over time, this can become a silent cost driver, ",medium,published
CER-002606,aws,focus_compute,aws-workspaces,Inactive AWS WorkSpace,"If an AWS WorkSpace has been provisioned but not accessed in a meaningful timeframe, it may represent waste—particularly if it is set to monthly billing. Many organizations leave WorkSpaces active for users who no longer need them or have shifted roles, leading to persistent charges without corresponding business value. Even in hourly mode, costs can accrue if WorkSpaces are left in a running stat",medium,published
CER-004680,aws,focus_compute,aws-appstream-2-0,Inactive AppStream Image Builder or App Block Builder Instances,"When AppStream builder instances are left running but unused, they continue to generate compute charges without delivering any value. These instances are commonly left active after configuration or image creation is completed but can be safely stopped or terminated when not in use. Identifying and decommissioning inactive builders helps reduce unnecessary compute costs.",medium,published
CER-008365,aws,focus_network,aws-elb,Inactive Application Load Balancer (ALB),"Application Load Balancers that no longer serve active workloads may persist after application migrations, architecture changes, or testing activities. When no incoming requests are processed through the ALB, it continues to generate baseline hourly and LCU charges. Identifying and decommissioning unused ALBs helps reduce networking expenses without impacting operational environments.",medium,published
CER-009911,azure,focus_network,azure-load-balancer,Inactive Azure Load Balancer,"In dynamic environments — especially during autoscaling, testing, or infrastructure changes — it's common for load balancers to remain provisioned after their backend resources have been decommissioned. When this happens, the load balancer continues to incur hourly charges despite serving no functional purpose. These inactive resources often go unnoticed, particularly in dev/test environments or w",medium,published
CER-009868,azure,focus_network,azure-load-balancer,Inactive Azure Load Balancer,"Standard Load Balancers are frequently provisioned for internal services, internet-facing applications, or testing environments. When a workload is decommissioned or moved, the load balancer may be left behind without any active backend pool or traffic — but continues to incur hourly charges for each frontend IP configuration.Because Azure does not automatically remove or alert on inactive load ba",medium,published
CER-008957,azure,focus_storage,azure-blob-storage,Inactive Blobs in Storage Account,"Storage accounts can accumulate blob data that is no longer actively accessed—such as legacy logs, expired backups, outdated exports, or orphaned files. When these blobs remain in the Hot tier, they continue to incur the highest storage cost, even if they have not been read or modified for an extended period. Without lifecycle management in place, these inactive blobs often go unnoticed and accumu",medium,published
CER-003251,aws,focus_network,aws-elb,Inactive Classic Load Balancer (CLB),"Classic Load Balancers that no longer serve active workloads will persist if they are not properly decommissioned. This often happens after application migrations, architecture changes, or testing activities. Even if no connections or traffic are passing through the CLB, it continues to incur baseline charges until manually deleted. Identifying and removing unused load balancers helps eliminate wa",medium,published
CER-008098,aws,focus_other,aws-cloudwatch,Inactive CloudWatch Log Group,"CloudWatch log groups often persist long after their usefulness has expired. In some cases, they are associated with applications or resources that are no longer active. In other cases, the systems may still be running, but the log data is no longer being reviewed, analyzed, or used by any team. Regardless of the reason, retaining logs that no one is monitoring or using results in unnecessary stor",medium,published
CER-004018,aws,focus_database,aws-dms,Inactive DMS Replication Instance,"Replication instances are commonly left running after migration tasks are completed, especially when DMS is used for one-time or project-based migrations. Without active replication tasks, these instances no longer serve any purpose but continue to incur hourly compute costs. In large organizations or decentralized migration projects, these idle instances may go unnoticed, contributing to persiste",medium,published
CER-004839,aws,focus_database,aws-dynamodb,Inactive DynamoDB Table,"This inefficiency occurs when a DynamoDB table is no longer accessed by any active workload but continues to accumulate storage charges. These tables often remain after a project ends, a feature is retired, or data is migrated elsewhere. Without any read or write activity, the table provides no functional value and becomes a cost liability.",medium,published
CER-006784,aws,focus_compute,aws-ec2,Inactive EC2 Instance,"This inefficiency occurs when an EC2 instance remains in a running state but is not actively utilized. These instances may be remnants of past projects, forgotten development environments, or temporarily created for testing and never decommissioned. If an instance shows consistently low or no CPU, network, or disk activity—and no active connections—it likely serves no operational purpose but conti",medium,published
CER-006372,aws,focus_compute,aws-eks,Inactive EKS Cluster,"Clusters that no longer run active workloads but remain provisioned continue incurring hourly control plane costs and may also maintain associated infrastructure like node groups or VPC components. Inactive clusters often persist after environment decommissioning, project shutdowns, or migrations. Decommissioning unused clusters eliminates unnecessary operational costs and simplifies infrastructur",medium,published
CER-008736,azure,focus_storage,azure-blob-storage,Inactive Files in Storage Account,"Files that show no read or write activity over an extended period often indicate redundant or abandoned data. Keeping inactive files in higher-cost storage classes unnecessarily increases monthly spend. Implementing proactive archiving, deletion workflows, and safety features like Blob Soft Delete or Versioning improves cost efficiency while protecting against accidental data loss.",medium,published
CER-005248,gcp,focus_storage,gcp-gcs,Inactive GCS Bucket,"GCS buckets often persist after applications are retired or data is no longer in active use. Without access activity, these buckets generate storage charges without providing ongoing value. Leaving stale data in Standard storage—designed for frequent access—results in unnecessary cost. If the data must be retained for compliance or future reference, colder tiers offer substantial savings. If it is",medium,published
CER-001244,aws,focus_network,aws-elb,Inactive Gateway Load Balancer (GLB),"Gateway Load Balancers that no longer have active traffic flows can continue to exist indefinitely unless proactively decommissioned. This often happens after network topology changes, security architecture updates, or environment deprecations. Without active packet forwarding, the GLB provides no functional benefit but still incurs hourly and data transfer costs.",medium,published
CER-008474,aws,focus_compute,aws-eks,Inactive Kubernetes Workload,"Workloads with consistently low CPU and memory usage may no longer serve active traffic or scheduled tasks, but continue reserving resources within the cluster. These idle deployments often remain after project migrations, feature deprecations, or experimentation. Removing inactive workloads allows node groups to scale down, reducing infrastructure costs without impacting active services.",medium,published
CER-007888,gcp,focus_database,gcp-memorystore,Inactive Memorystore Instance,"Memorystore instances that are provisioned but unused — whether due to deprecated services, orphaned environments, or development/testing phases ending — continue to incur memory and infrastructure charges. Because usage-based metrics like client connections or cache hit ratios are not tied to billing, an idle instance costs the same as a heavily used one. This makes it critical to identify and de",medium,published
CER-007739,aws,focus_network,aws-nat-gateway,Inactive NAT Gateway,"NAT Gateways are frequently left running after environments are re-architected, workloads are shut down, or connectivity patterns change. In many cases, they continue to incur hourly charges despite no active traffic flowing through them. Because hourly fees are not tied to whether the gateway is needed—just whether it exists—these resources can quietly drive recurring costs without delivering ong",medium,published
CER-007760,aws,focus_network,aws-elb,Inactive Network Load Balancer (NLB),"Network Load Balancers that are no longer needed often persist after architecture changes, service decommissioning, or migration projects. When no active TCP connections or traffic flow through the NLB, it still generates hourly operational costs. Identifying and removing these idle resources helps reduce unnecessary networking expenses without affecting service availability.",medium,published
CER-005856,oci,focus_storage,oci-object-storage,Inactive Object Storage Bucket,"OCI Object Storage buckets accrue charges based on data volume stored, even if no activity has occurred. Buckets that haven't been read from or written to in months may contain outdated data or artifacts from discontinued projects.",medium,published
CER-009353,aws,focus_database,aws-rds,Inactive RDS Cluster,"This inefficiency occurs when an RDS cluster remains provisioned but is no longer serving any workloads and has no active database connections. Unlike underutilized resources, these clusters are completely idle—showing no query activity, background processing, or usage over time. They often persist in dev, staging, or legacy environments where the workload has been retired or moved, yet the cluste",medium,published
CER-003583,aws,focus_database,aws-rds,Inactive RDS Instance,"This inefficiency occurs when an RDS instance remains in the running state but is no longer actively serving application traffic. These instances may be remnants of retired applications, paused development environments, or workloads that were migrated elsewhere. If an instance shows no active connections and sustained inactivity across CPU and memory metrics, it is likely idle and generating unnec",medium,published
CER-002996,aws,focus_database,aws-rds,Inactive RDS Read Replica,"Read replicas are intended to improve performance for read-heavy workloads or support cross-region redundancy. However, it's common for replicas to remain in place even after their intended purpose has passed. In some cases, they were provisioned for scaling or analytics workloads that no longer exist; in others, they are tied to live environments but not actively receiving queries. Since each rep",medium,published
CER-008589,aws,focus_storage,aws-s3,Inactive S3 Bucket,"S3 buckets often persist after projects complete or when the associated workloads have been retired. If a bucket is no longer being read from or written to—and its contents are not required for compliance, backup, or retention purposes—it represents ongoing cost without delivering value. Many organizations overlook these idle buckets, especially in shared or legacy accounts, leading to unnecessary",medium,published
CER-009154,azure,focus_storage,azure-table-storage,Inactive Tables in Storage Account,"Tables with no read or write activity often represent deprecated applications, obsolete telemetry, or abandoned development artifacts. Retaining inactive tables increases storage costs and operational complexity. Regularly auditing and cleaning up unused tables helps maintain a streamlined, cost-effective storage environment.",medium,published
CER-001988,aws,focus_network,aws-vpc,Inactive VPC Interface Endpoint,"VPC Interface Endpoints are commonly deployed to meet network security or compliance requirements by enabling private access to AWS services. However, these endpoints often remain provisioned even after the original use case is deprecated. In some cases, the applications have been decommissioned; in others, traffic routing has changed and the endpoint is no longer used. Since interface endpoints g",medium,published
CER-005932,azure,focus_network,azure-waf,Inactive Web Application Firewall (WAF),"Azure WAF configurations attached to Application Gateways can persist after their backend pool resources have been removed — often during environment reconfiguration or application decommissioning. In these cases, the WAF is no longer serving any functional purpose but continues to incur fixed hourly costs. Because no traffic is routed and no applications are protected, the WAF is effectively inac",medium,published
CER-006653,aws,focus_storage,aws-ebs,Inactive and Detached EBS Volume,"EBS volumes frequently remain detached after EC2 instances are terminated, replaced, or reconfigured. Some may be intentionally retained for reattachment or backup purposes, but many persist unintentionally due to the lack of automated cleanup. When these detached volumes are also inactive—showing no read or write activity—they represent unnecessary ongoing costs. Identifying and removing these or",medium,published
CER-005257,azure,focus_storage,azure-managed-disks,Inactive and Detached Managed Disk,"Managed Disks frequently remain detached after Azure virtual machines are deleted, reimaged, or reconfigured. Some may be intentionally retained for reattachment, backup, or migration purposes, but many persist unintentionally due to the lack of automated cleanup processes. When these detached disks are also inactive—showing no read or write activity—they represent unnecessary ongoing costs. Ident",medium,published
CER-007500,azure,focus_compute,azure-virtual-machines,Inactive and Stopped VM,"This inefficiency arises when a virtual machine is left in a stopped (deallocated) state for an extended period but continues to incur costs through attached storage and associated resources. These idle VMs are often remnants of retired workloads, temporary environments, or paused projects that were never fully cleaned up. Without clear ownership or automated cleanup, they can persist unnoticed an",medium,published
CER-002770,aws,focus_storage,aws-efs,Inactive and Unmounted EFS File System,"EFS file systems that are no longer attached to any running services — such as EC2 instances or Lambda functions — continue to incur storage charges. This often occurs after workloads are decommissioned but the file system is left behind. A quick indicator of this state is when the EFS file system has no mount targets configured. Without active usage or connection, these orphaned file systems repr",medium,published
CER-001898,databricks,focus_compute,databricks-clusters,Inefficient Autotermination Configuration for Interactive Clusters,"Interactive clusters are often left running between periods of active use. To mitigate idle charges, Databricks provides an “autotermination” setting that shuts down clusters after a period of inactivity. However, if the termination period is set too high, or if policies do not enforce reasonable thresholds, idle clusters can persist for long durations without performing any work—resulting in wast",medium,published
CER-006762,databricks,focus_compute,interactive-clusters,Inefficient BI Queries Driving Excessive Compute Usage,Business Intelligence dashboards and ad-hoc analyst queries frequently drive Databricks compute usage — especially when: * Dashboards are auto-refreshed too frequently * Queries scan full datasets instead of leveraging filtered views or materialized tables * Inefficient joins or large broadcast operations are used * Redundant or exploratory queries are triggered during interactive exploration This,medium,published
CER-004453,snowflake,focus_compute,snowflake-query-processing,Inefficient Execution of Repeated Queries,"Inefficient execution of repeated queries occurs when common query patterns are frequently executed without optimization. Even if individual executions are successful, repeated inefficiencies compound overall compute consumption and credit costs.By analyzing Snowflake's parameterized query metrics, organizations can identify top repeated queries and optimize them for better performance, resource u",medium,published
CER-009503,aws,focus_compute,aws-athena,Inefficient File Format and Layout for Athena Queries,"Storing raw JSON or CSV files in S3—especially when written frequently in small batches—leads to excessive scan costs in Athena. These formats are row-based and verbose, requiring Athena to scan and parse the full content even when only a few fields are queried. Without columnar formats, partitioning, or metadata-aware table formats, queries become inefficient and expensive, especially in high-vol",medium,published
CER-004439,snowflake,focus_other,snowflake-tasks-and-pipelines,Inefficient Pipeline Refresh Scheduling,"Inefficient pipeline refresh scheduling occurs when data refresh operations are executed more frequently, or with more compute resources, than the actual downstream business usage requires.Without aligning refresh frequency and resource allocation to true data consumption patterns (e.g., report access rates in Tableau or Sigma), organizations can waste substantial Snowflake credits maintaining und",medium,published
CER-002429,azure,focus_other,azure-databricks,Inefficient Private Link Routing to Azure Databricks,"In Azure Databricks environments that rely on Private Link for secure networking, it’s common to route traffic through multi-tiered network architectures. This often includes multiple VNets, Private Link endpoints, or peered subscriptions between data sources (e.g., ADLS) and the Databricks compute plane. While these architectures may be designed for isolation or compliance, they frequently introd",medium,published
CER-006667,aws,focus_compute,aws-ec2,Inefficient Processor Selection in EC2 Instances,"Many organizations default to Intel-based EC2 instances due to familiarity or assumptions about workload compatibility. However, AWS offers AMD and Graviton-based alternatives that often deliver significantly better price-performance for general-purpose and compute-optimized workloads.By not testing workloads across available architectures, teams may continue paying a premium for Intel instances e",medium,published
