inefficiencies
Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Author name,Cloud provider,Cloud service,Inefficiency Type,Service Category,Explanation,Relevant Billing Model,Detection,Remediation,Relevant Documentation,Show on popular,Show on community picks,Intro text,Definition ID,Example Cost Savings,CER:
Inactive Memorystore Instance,inactive-memorystore-instance,682077b786159f81bf47f152,682077b786159f81bf47f0b2,6858941ab3181605d2055f1a,FALSE,FALSE,Sun Jun 22 2025 23:39:06 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,gcp,gcp-memorystore,inactive-resource,databases,"<p id="""">Memorystore instances that are provisioned but unused — whether due to deprecated services, orphaned environments, or development/testing phases ending — continue to incur memory and infrastructure charges.  Because usage-based metrics like client connections or cache hit ratios are not tied to billing, an idle instance costs the same as a heavily used one. This makes it critical to identify and decommission inactive caches.</p>","<p id="""">Billed based on:  * Provisioned memory capacity per hour   * Network egress (if applicable)   * Optional HA configurations incur additional cost  Charges accrue even if the instance is not actively serving traffic or receiving connections.</p>","<ul id=""""><li id="""">Identify instances with zero or near-zero connected clients over time</li><li id="""">Evaluate cache hit ratio and operation throughput (gets/sets) for inactivity</li><li id="""">Check if the instance is tied to an application still in use</li><li id="""">Review environments (e.g., test, staging) for abandoned or duplicated caches</li><li id="""">Assess whether data stored in the cache is static or outdated</li></ul>","<ul id=""""><li id="""">Decommission inactive or obsolete Memorystore instances</li><li id="""">Consolidate fragmented caching layers across services or environments</li><li id="""">Use automated tagging and monitoring to flag long-idle instances</li><li id="""">For intermittent workloads, consider re-creating the cache on demand via IaC or CI/CD pipelines</li></ul>","<p id="""">* Memorystore Pricing  * Monitoring Redis Instances  * Best Practices for Memorystore</p>",FALSE,FALSE,,,,<p>GCP-Databases-7888</p>
Inactive NAT Gateway,inactive-nat-gateway,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b41f77ba902a30b3181,FALSE,FALSE,Thu May 22 2025 14:57:05 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:45 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:45 GMT+0000 (Coordinated Universal Time),,aws,aws-nat-gateway,unused-resource,networking,"<p id="""">NAT Gateways are frequently left running after environments are re-architected, workloads are shut down, or connectivity patterns change. In many cases, they continue to incur hourly charges despite no active traffic flowing through them. Because hourly fees are not tied to whether the gateway is needed—just whether it exists—these resources can quietly drive recurring costs without delivering ongoing value. Identifying and removing unused gateways is a simple way to reduce waste.</p>","<p id="""">NAT Gateway charges include:</p><ul id=""""><li id="""">Hourly cost per deployed gateway per Availability Zone — charged as long as the gateway exists, regardless of usage</li><li id="""">Per-GB data processing fee — charged for all data passing through the NAT Gateway</li></ul><p id="""">There is no minimum usage threshold. Even an idle NAT Gateway accrues full hourly charges.</p>","<ul id=""""><li id="""">List all NAT Gateways currently provisioned in each region</li><li id="""">Review flow logs, CloudWatch metrics, or billing data to confirm whether any data has been processed through the gateway during the lookback period</li><li id="""">Validate that no private subnet or route table is actively routing traffic through the NAT Gateway</li><li id="""">Determine whether the gateway was created as part of a dev, staging, or legacy environment that is no longer active</li><li id="""">Confirm with network or infrastructure owners whether the gateway is still required for any known process or dependency</li></ul>","<p id="""">Delete NAT Gateways that have shown no data transfer activity and are no longer required. Review associated route tables to ensure removal will not disrupt network connectivity. Consider automating periodic audits of NAT Gateway usage across environments.</p>","<ul id=""""><li id=""""><a href=""https://aws.amazon.com/vpc/pricing/#nat_gateway"" id="""">AWS NAT Gateway Pricing</a></li><li id=""""><a href=""https://docs.aws.amazon.com/vpc/latest/userguide/vpc-nat-gateway.html"" id="""">Working with NAT Gateways</a></li></ul>",FALSE,FALSE,,13,,<p>AWS-Networking-7739</p>
Inactive Network Load Balancer (NLB),inactive-network-load-balancer-nlb,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b45d364e73fcbd437a2,FALSE,FALSE,Thu May 22 2025 14:57:09 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:45 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:45 GMT+0000 (Coordinated Universal Time),,aws,aws-elb,unused-resource,networking,"<p id="""">Network Load Balancers that are no longer needed often persist after architecture changes, service decommissioning, or migration projects. When no active TCP connections or traffic flow through the NLB, it still generates hourly operational costs. Identifying and removing these idle resources helps reduce unnecessary networking expenses without affecting service availability.</p>","<p id="""">Network Load Balancers are billed per hour of operation and per GB of data processed. Inactive NLBs that remain provisioned without traffic continue to incur hourly charges, even when no connections are being handled.</p>","<ul id=""""><li id="""">Identify Network Load Balancers with no active connections or minimal data processing over a defined monitoring window</li><li id="""">Confirm there are no registered targets, listener rules, or backend services depending on the NLB</li><li id="""">Review networking and security configurations to ensure the load balancer is not being used for future failover or redundancy scenarios</li><li id="""">Check tagging and documentation history to assess whether the NLB was tied to a deprecated workload or temporary environment</li><li id="""">Validate findings with infrastructure or application teams before initiating removal</li></ul>","<p id="""">If confirmed to be inactive, delete the load balancer through the AWS Console, CLI, or API to stop further billing. Where possible, document the reason for decommissioning and update tagging or inventory systems to prevent reaccumulation of unused resources.</p>","<ul id=""""><li id=""""><a href=""https://docs.aws.amazon.com/elasticloadbalancing/latest/network/introduction.html\&quot;"" id="""">Network Load Balancer Documentation</a></li><li id=""""><a href=""https://aws.amazon.com/elasticloadbalancing/pricing/\"" id="""">Elastic Load Balancing Pricing</a></li></ul>",FALSE,FALSE,,47,,<p>AWS-Networking-7760</p>
Inactive Object Storage Bucket,inactive-object-storage-bucket,682077b786159f81bf47f152,682077b786159f81bf47f0b2,685894174c7041f2f2bd3537,FALSE,FALSE,Sun Jun 22 2025 23:39:03 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:56 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:56 GMT+0000 (Coordinated Universal Time),,oci,oci-object-storage,inactive-storage-resource,storage,"<p id="""">OCI Object Storage buckets accrue charges based on data volume stored, even if no activity has occurred. Buckets that haven't been read from or written to in months may contain outdated data or artifacts from discontinued projects.</p>","<p id="""">Charged per GB stored per month, regardless of access frequency.</p>","<ul id=""""><li id="""">Review access logs or object metadata to identify buckets with no recent read/write activity</li><li id="""">Confirm whether the bucket serves an archival or active workload purpose</li><li id="""">Evaluate organizational retention policies to determine if long-term storage is required</li><li id="""">Check for object versioning or lifecycle policies that may be retaining stale data</li></ul>","<ul id=""""><li id="""">Archive or delete data from inactive buckets after stakeholder confirmation</li><li id="""">Apply lifecycle rules to transition or expire infrequently accessed data</li><li id="""">Migrate cold data to OCI Archive Storage for reduced cost</li><li id="""">Delete unused buckets to stop further storage accrual</li></ul>","<p id=""""><a href=""https://docs.oracle.com/en-us/iaas/Content/Object/Tasks/managingbuckets.htm"" id="""">Managing Buckets in Object Storage</a><br><a href=""https://docs.oracle.com/en-us/iaas/Content/Object/Tasks/usinglifecyclepolicies.htm"" id="""">Object Lifecycle Policies</a></p>",FALSE,FALSE,,,,<p>OCI-Storage-5856</p>
Inactive RDS Cluster,inactive-rds-cluster,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b42d036f316acffa2e9,FALSE,FALSE,Thu May 22 2025 14:57:06 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,aws,aws-rds,unused-resource,databases,"<p id="""">This inefficiency occurs when an RDS cluster remains provisioned but is no longer serving any workloads and has no active database connections. Unlike underutilized resources, these clusters are completely idle—showing no query activity, background processing, or usage over time. They often persist in dev, staging, or legacy environments where the workload has been retired or moved, yet the cluster remains active and continues to generate ongoing compute and storage costs.</p>","<p id="""">RDS clusters are billed per hour based on the instance types used for each node (primary and replicas), along with additional charges for storage, I/O, backups, monitoring, and data transfer. Charges continue to accrue even if the cluster is idle or not serving traffic.</p>","<ul id=""""><li id="""">Identify RDS clusters with no active connections or query activity during the lookback period</li><li id="""">Confirm whether the cluster is receiving any traffic from applications or internal services</li><li id="""">Check for sustained low or zero CPU utilization, network throughput, and read/write IOPS</li><li id="""">Evaluate whether the cluster is part of a dev/test environment that is no longer in use</li><li id="""">Consult application and database owners to confirm that the cluster is no longer needed</li></ul>","<p id="""">Decommission the RDS cluster after confirming it is no longer in use. Take a final snapshot if the data may be needed later, and ensure that associated backups and read replicas are also deleted if not required. Incorporate regular reviews of cluster activity to identify and clean up idle infrastructure.</p>","<ul id=""""><li id=""""><a href=""https://aws.amazon.com/rds/pricing/\&quot;"" id="""">RDS Pricing</a></li><li id=""""><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/MonitoringOverview.html\"" id="""">RDS Monitoring</a></li></ul>",FALSE,FALSE,,105,,<p>AWS-Databases-9353</p>
Inactive RDS Instance,inactive-rds-instance,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b44bfeaba01c68128eb,FALSE,FALSE,Thu May 22 2025 14:57:08 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,aws,aws-rds,unused-resource,databases,"<p id="""">This inefficiency occurs when an RDS instance remains in the running state but is no longer actively serving application traffic. These instances may be remnants of retired applications, paused development environments, or workloads that were migrated elsewhere. If an instance shows no active connections and sustained inactivity across CPU and memory metrics, it is likely idle and generating unnecessary costs.</p>","<p id="""">RDS instances are billed based on the selected instance class (vCPU and memory), per hour (or per second in some cases) while running. Additional charges may apply for storage, backup retention, Multi-AZ replication, and provisioned IOPS—regardless of workload activity.</p>","<ul id=""""><li id="""">Identify RDS instances that have been running continuously during the lookback period</li><li id="""">Review performance metrics to confirm low or zero CPU and memory usage</li><li id="""">Check connection logs and query metrics to validate the absence of active database traffic</li><li id="""">Confirm with owners or application teams whether the instance is still in use</li><li id="""">Evaluate whether snapshots or backups exist that could support future recovery needs</li></ul>","<p id="""">Shut down or delete the inactive instance after validating that it is no longer required. Take a snapshot if data retention is necessary. Review and remove associated resources such as storage, backups, or read replicas to fully eliminate residual costs.</p>","<ul id=""""><li id=""""><a href=""https://aws.amazon.com/rds/pricing/\&quot;"" id="""">RDS Pricing</a></li><li id=""""><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/MonitoringOverview.html\"" id="""">Monitoring RDS with Amazon CloudWatch</a></li></ul>",FALSE,FALSE,,41,,<p>AWS-Databases-3583</p>
Inactive RDS Read Replica,inactive-rds-read-replica,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b40d036f316acffa23c,FALSE,FALSE,Thu May 22 2025 14:57:04 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,aws,aws-rds,unused-resource,databases,"<p id="""">Read replicas are intended to improve performance for read-heavy workloads or support cross-region redundancy. However, it's common for replicas to remain in place even after their intended purpose has passed. In some cases, they were provisioned for scaling or analytics workloads that no longer exist; in others, they are tied to live environments but not actively receiving queries. Since each replica incurs full RDS costs, retaining one that is no longer used leads to unnecessary ongoing expenses.</p>","<p id="""">Amazon RDS pricing is based on several components:</p><ul id=""""><li id="""">Compute – Billed hourly based on the instance type and size of each database instance, including read replicas</li><li id="""">Storage – Charged per GB provisioned, regardless of usage</li><li id="""">I/O Operations – Additional charges for reads and writes, depending on storage type</li><li id="""">Data Transfer – Especially relevant for cross-region replication</li></ul><p id="""">Read replicas are billed as independent RDS instances, meaning they incur the same base costs as a standard instance—whether or not they are actively serving traffic.</p>","<ul id=""""><li id="""">Identify all existing RDS read replicas and their associated primary instances</li><li id="""">Assess whether read traffic is being actively routed to each replica</li><li id="""">Review recent query activity to determine if the replica is used for reporting, analytics, or scaling</li><li id="""">Evaluate whether the replica is still needed for its original purpose (e.g., disaster recovery, cross-region availability, performance optimization)</li><li id="""">Confirm there are no active failover configurations or application connections relying on the replica</li><li id="""">Validate with relevant teams (e.g., DBA, application owners) that decommissioning the replica will not impact availability, performance, or redundancy</li></ul>","<p id="""">If a read replica is no longer receiving queries and has no clear operational or redundancy purpose, it should be deleted to avoid unnecessary compute and storage costs. Coordinate with database and application teams before removal to ensure that dependencies or failover plans are not disrupted.</p>","<p id=""""><a href=""https://aws.amazon.com/rds/pricing/\&quot;"" id="""">RDS Pricing</a></p>",FALSE,FALSE,,39,,<p>AWS-Databases-2996</p>
Inactive S3 Bucket,inactive-s3-bucket,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b42e09e434112c2f371,FALSE,FALSE,Thu May 22 2025 14:57:06 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,aws,aws-s3,unused-resource,storage,"<p id="""">S3 buckets often persist after projects complete or when the associated workloads have been retired. If a bucket is no longer being read from or written to—and its contents are not required for compliance, backup, or retention purposes—it represents ongoing cost without delivering value. Many organizations overlook these idle buckets, especially in shared or legacy accounts, leading to unnecessary storage costs over time.</p>","<p id="""">S3 charges based on the total storage used (per GB per month), the selected storage class, and the number and type of requests made (PUT, GET, LIST, etc.). Storage costs accrue continuously, even if the data is never accessed. Buckets with no read or write activity still incur storage charges for all retained data.</p>","<ul id=""""><li id="""">Identify S3 buckets with no read or write activity during the defined lookback period</li><li id="""">Review object access patterns to confirm that stored data is not being queried or updated</li><li id="""">Check whether the bucket was associated with a decommissioned workload, environment, or application</li><li id="""">Assess whether the data is still needed for compliance, reference, or future recovery</li><li id="""">Validate with data owners or security stakeholders before making changes</li></ul>","<p id="""">If a bucket is confirmed to be inactive and nonessential, delete the bucket and all stored objects. Alternatively, move the data to a lower-cost storage class such as Glacier Flexible Retrieval or Deep Archive for long-term retention at reduced cost. Consider applying lifecycle policies going forward to automatically clean up inactive data.</p>","<ul id=""""><li id=""""><a href=""https://aws.amazon.com/s3/pricing/\&quot;"" id="""">S3 Pricing</a></li><li id=""""><a href=""https://docs.aws.amazon.com/AmazonS3/latest/userguide/storage-class-intro.html\"" id="""">S3 Storage Class Overview</a></li></ul>",FALSE,FALSE,,1,,<p>AWS-Storage-8589</p>
Inactive Tables in Storage Account,inactive-tables-in-storage-account,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b460606304f3b580192,FALSE,FALSE,Thu May 22 2025 14:57:10 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:50 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:50 GMT+0000 (Coordinated Universal Time),,azure,azure-table-storage,unused-resource,storage,"<p id="""">Tables with no read or write activity often represent deprecated applications, obsolete telemetry, or abandoned development artifacts. Retaining inactive tables increases storage costs and operational complexity. Regularly auditing and cleaning up unused tables helps maintain a streamlined, cost-effective storage environment.</p>","<p id="""">Azure Table Storage charges for stored data per GB and separately for read, write, and delete operations. Tables incur ongoing storage costs even if no activity occurs, contributing to unnecessary baseline expenses.</p>","<ul id=""""><li id="""">Identify Azure Table Storage tables with no read or write operations over a defined lookback period</li><li id="""">Review table creation dates, metadata, and ownership tags to assess relevance and intended retention</li><li id="""">Check for compliance, legal hold, or audit requirements before initiating deletions or exports</li><li id="""">Evaluate whether table contents require archival, and plan export strategies where needed</li><li id="""">Validate findings with application owners, data stewards, or governance teams before proceeding</li></ul>","<p id="""">Delete tables confirmed to be redundant or obsolete. If long-term retention is required, export the table contents (e.g., to CSV or JSON format) and store them in lower-cost services like Azure Blob Storage Archive tier. Incorporate tagging and lifecycle management practices to prevent reaccumulation of unused tables.</p>","<ul id=""""><li id=""""><a href=""https://learn.microsoft.com/en-us/azure/storage/tables/table-storage-overview\&quot;"" id="""">Azure Table Storage Overview</a></li><li id=""""><a href=""https://azure.microsoft.com/en-us/pricing/details/storage/tables/\"" id="""">Azure Storage Pricing</a></li></ul>",FALSE,FALSE,,120,,<p>Azure-Storage-9154</p>
Inactive VPC Interface Endpoint,inactive-vpc-interface-endpoint,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b41c0bd0856e23274e4,FALSE,FALSE,Thu May 22 2025 14:57:05 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,aws,aws-vpc,unused-resource,networking,"<p id="""">VPC Interface Endpoints are commonly deployed to meet network security or compliance requirements by enabling private access to AWS services. However, these endpoints often remain provisioned even after the original use case is deprecated. In some cases, the applications have been decommissioned; in others, traffic routing has changed and the endpoint is no longer used. Since interface endpoints generate hourly charges whether or not they are used, identifying and removing inactive ones can eliminate unnecessary costs.</p>","<p id="""">VPC Interface Endpoints incur costs based on:</p><ul id=""""><li id="""">Hourly Charges: Billed per hour for each provisioned interface endpoint, in each Availability Zone, regardless of traffic.</li><li id="""">Data Processing Charges: Billed per gigabyte (GB) of data processed through the endpoint.</li></ul><p id="""">Because hourly charges continue to accrue even when no data flows through the endpoint, idle endpoints result in ongoing costs with no business value.</p>","<ul id=""""><li id="""">Identify all VPC Interface Endpoints currently provisioned in your account</li><li id="""">Review data transfer activity to determine whether any data has flowed through the endpoint over a representative time period</li><li id="""">Confirm whether the associated AWS service or endpoint service is still used by any workloads in the environment</li><li id="""">Evaluate whether the endpoint is tied to any running EC2 instances, Lambda functions, or container workloads</li><li id="""">Check whether the endpoint is linked to a deprecated environment or redundant architecture</li><li id="""">Engage with networking or application teams to verify that no current dependencies exist</li></ul>","<p id="""">Decommission VPC Interface Endpoints that show no recent usage and are not tied to any active application dependencies. Since endpoints are billed hourly, removing unused ones immediately eliminates ongoing charges. This change has no impact on availability or connectivity as long as no resources are routing traffic through the endpoint. Coordinate with application and networking teams to ensure safe removal.</p>","<p id=""""><a href=""https://aws.amazon.com/privatelink/pricing/\&quot;"" id="""">AWS PrivateLink Pricin</a>g</p>",FALSE,FALSE,,10,"<p id="""">Illustrative savings for removing idle interface endpoints:</p><ul id=""""><li id="""">A single inactive interface endpoint in <em id="""">us-east-1</em> costs $0.01/hour = $7.30/month</li><li id="""">Removing 100 unused endpoints = $730/month or $8,760/year</li><li id="""">Even greater savings accrue if endpoints were also incurring data-processing fees</li></ul>",<p>AWS-Networking-1988</p>
Inactive Web Application Firewall (WAF),inactive-web-application-firewall-waf,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b4747b0f2b3ca307c17,FALSE,FALSE,Thu May 22 2025 14:57:11 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:45 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:45 GMT+0000 (Coordinated Universal Time),Balazs Engedi,azure,azure-waf,unused-resource,networking,"<p id="""">Azure WAF configurations attached to Application Gateways can persist after their backend pool resources have been removed — often during environment reconfiguration or application decommissioning. In these cases, the WAF is no longer serving any functional purpose but continues to incur fixed hourly costs. Because no traffic is routed and no applications are protected, the WAF is effectively inactive. These orphaned WAFs are easy to overlook without regular cleanup processes and can quietly accumulate unnecessary charges over time.</p>","<p id="""">Azure WAF on Application Gateway is billed based on:</p><ul id=""""><li id="""">Per-hour instance charges — incurred regardless of traffic volume</li><li id="""">Data processing charges — based on traffic inspected, only applicable when the WAF is actively routing requests</li></ul><p id="""">A WAF remains billable as long as it is provisioned, even if there are no active backend pool resources or traffic flowing through it.</p>","<ul id=""""><li id="""">Identify WAF-enabled Application Gateways with no associated backend pool targets</li><li id="""">Review traffic metrics or diagnostic logs to confirm that no requests are being processed</li><li id="""">Validate that the WAF is not in use by other services such as Front Door or CDN endpoints</li><li id="""">Consult with application teams to determine whether the WAF is still needed for future use</li></ul>","<ul id=""""><li id="""">Delete WAF configurations that are no longer routing traffic or protecting active applications</li><li id="""">Establish periodic audits to flag and review WAFs with empty backend pools</li><li id="""">Use automated checks to detect and alert on WAF deployments with no active use</li></ul>","<ul id=""""><li id=""""><a href=""https://azure.microsoft.com/en-us/pricing/details/web-application-firewall/"" id="""">Azure WAF Pricing</a></li><li id=""""><a href=""https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview"" id="""">Application Gateway WAF Overview</a></li></ul>",FALSE,FALSE,,,,<p>Azure-Networking-5932</p>
Inactive and Detached EBS Volume,inactive-and-detached-ebs-volume,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b40c0b8688d517a8f58,FALSE,FALSE,Thu May 22 2025 14:57:04 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,aws,aws-ebs,unused-resource,storage,"<p id="""">EBS volumes frequently remain detached after EC2 instances are terminated, replaced, or reconfigured. Some may be intentionally retained for reattachment or backup purposes, but many persist unintentionally due to the lack of automated cleanup. When these detached volumes are also inactive—showing no read or write activity—they represent unnecessary ongoing costs. Identifying and removing these orphaned volumes can produce meaningful savings without affecting running workloads.</p>","<p id="""">EBS volumes are billed based on the provisioned volume type, size, and performance configuration, regardless of usage or attachment</p>","<ul id=""""><li id="""">Identify EBS volumes that are not attached to any EC2 instance (“available”)</li><li id="""">Review usage data to confirm that no read or write activity has occurred over a defined lookback period</li><li id="""">Check whether the volume is intentionally retained for manual recovery, reattachment, or snapshot purposes, especially if it's part of a known backup or disaster recovery process managed outside of AWS</li><li id="""">Evaluate the cost contribution of the volume based on size, type, and provisioned IOPS</li><li id="""">Determine whether a recent snapshot exists or is needed before deletion</li><li id="""">Confirm with application or infrastructure owners whether the volume still serves a purpose</li></ul>","<p id="""">Delete detached and inactive EBS volumes that are no longer required. Before deletion, take a snapshot if the data must be retained for backup or compliance purposes. Consider setting up scheduled audits or automated cleanup routines to regularly identify and remove unused volumes.</p>","<ul id=""""><li id=""""><a href=""https://aws.amazon.com/ebs/pricing/\&quot;"" id="""">EBS Pricing</a></li><li id=""""><a href=""https://aws.amazon.com/blogs/mt/controlling-your-aws-costs-by-deleting-unused-amazon-ebs-volumes/\"" id="""">Controlling EBS Costs</a></li></ul>",FALSE,FALSE,,11,,<p>AWS-Storage-6653</p>
Inactive and Detached Managed Disk,inactive-and-detached-managed-disk,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b407db021f413aa3dd6,FALSE,FALSE,Thu May 22 2025 14:57:04 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,azure,azure-managed-disks,unused-resource,storage,"<p id="""">Managed Disks frequently remain detached after Azure virtual machines are deleted, reimaged, or reconfigured. Some may be intentionally retained for reattachment, backup, or migration purposes, but many persist unintentionally due to the lack of automated cleanup processes. When these detached disks are also inactive—showing no read or write activity—they represent unnecessary ongoing costs. Identifying and removing these orphaned disks can produce meaningful savings without affecting any active workloads.</p>","<p id="""">Managed Disks are billed based on:</p><ul id=""""><li id="""">Provisioned disk size (per GB/month) — billed regardless of attachment or usage</li><li id="""">Disk types include:</li><li id="""">Premium SSD (v1/v2) – High-performance workloads</li><li id="""">Standard SSD – Balanced cost and performance</li><li id="""">Standard HDD – Lower-cost for infrequent access</li><li id="""">Ultra Disk – Provisioned with specific IOPS and throughput, billed separately</li><li id="""">Snapshots – Billed separately based on storage consumed</li></ul><p id="""">Unattached disks are fully billable until explicitly deleted</p>","<ul id=""""><li id="""">Identify Managed Disks that are in an unattached state (not linked to any VM)</li><li id="""">Review metrics or activity logs to determine whether the disk has seen any read or write operations during the lookback period</li><li id="""">Check whether the disk is intentionally retained for recovery, migration, or reattachment</li><li id="""">Determine whether a snapshot has already been created or is needed prior to deletion</li><li id="""">Consult with workload owners or infrastructure teams to verify whether the disk still serves a business or technical purpose</li></ul>","<p id="""">Delete inactive and detached Managed Disks that are no longer needed. If data retention is required, create a snapshot before deletion. Establish periodic reviews or automate cleanup of unused resources to reduce persistent storage costs, especially for higher-tier disk types.</p>","<ul id=""""><li id=""""><a href=""https://azure.microsoft.com/en-us/pricing/details/managed-disks/"" id="""">Azure Managed Disks Pricing</a></li><li id=""""><a href=""https://learn.microsoft.com/en-us/azure/virtual-machines/disks-types"" id="""">Azure Disk Storage Overview</a></li></ul>",FALSE,FALSE,,110,,<p>Azure-Storage-5257</p>
Inactive and Stopped VM,inactive-and-stopped-vm,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b4347bdcbdaaafbf32d,FALSE,FALSE,Thu May 22 2025 14:57:07 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,azure,azure-virtual-machines,unused-resource,compute,"<p id="""">This inefficiency arises when a virtual machine is left in a stopped (deallocated) state for an extended period but continues to incur costs through attached storage and associated resources. These idle VMs are often remnants of retired workloads, temporary environments, or paused projects that were never fully cleaned up. Without clear ownership or automated cleanup, they can persist unnoticed and accumulate avoidable charges.</p>","<p id="""">While compute charges stop when a VM is in a deallocated (stopped) state, storage costs for the attached OS and data disks continue to accrue. Public IP addresses (if static), snapshots, and backup configurations may also generate charges.</p>","<ul id=""""><li id="""">Identify virtual machines that have remained in a stopped (deallocated) state for the entire lookback period</li><li id="""">Review whether any activity has occurred from the associated managed disks, network interfaces, or backup processes</li><li id="""">Evaluate whether the VM is part of a dev/test or legacy environment with no recent usage</li><li id="""">Check for active reservations or static public IPs still assigned to the VM</li><li id="""">Validate with the application owner whether the VM or its data is still needed</li></ul>","<p id="""">Delete stopped VMs that are confirmed to be inactive and no longer required. Ensure that managed disks, static IPs, and snapshots are reviewed and cleaned up accordingly. If the data may be needed later, consider creating a snapshot or exporting the disk before deletion. Implement scheduled reviews of deallocated VMs to minimize waste across environments.</p>","<ul id=""""><li id=""""><a href=""https://azure.microsoft.com/en-us/pricing/details/virtual-machines/\&quot;"" id="""">Azure VM Pricing</a></li><li id=""""><a href=""https://learn.microsoft.com/en-us/azure/virtual-machines/states-lifecycle\"" id="""">Azure VM States</a></li></ul>",FALSE,FALSE,,121,,<p>Azure-Compute-7500</p>
